"","gene_ID","CSDE1_vs_IgG_log2FoldChange","CSDE1_vs_IgG_pvalue","CSDE1_vs_IgG_padj","CSDE1_vs_Capture_log2FoldChange","CSDE1_vs_Capture_pvalue","CSDE1_vs_Capture_padj","GENE_NAME"
"1","ENSMUSG00000000001.4",0.0761600292025694,0.75196778039797,0.826691055487591,-0.312959132349943,0.188663435204091,0.295959104412237,"Gnai3"
"2","ENSMUSG00000000028.15",-1.68962509197502,1.04693392222047e-05,5.60034801930132e-05,-1.64885030579276,1.18596890991904e-05,6.47251624192789e-05,"Cdc45"
"3","ENSMUSG00000000037.16",-0.697021449691223,0.15515749797903,0.249110812134487,-1.95085888391612,3.98912786174642e-05,0.00019621328672266,"Scml2"
"4","ENSMUSG00000000056.7",0.185037258573818,0.346800159515443,0.465087270991864,0.350754288241804,0.0718021536684323,0.137498362614904,"Narf"
"5","ENSMUSG00000000058.6",-0.910549958210787,0.0674864223100474,0.127358564318282,-1.02698424028627,0.0348569853184776,0.0761437386628135,"Cav2"
"6","ENSMUSG00000000078.7",0.64926965635844,0.00129254979408945,0.00428636447634728,0.0943556072357343,0.630604431925098,0.7279289998143,"Klf6"
"7","ENSMUSG00000000085.16",0.247690844932332,0.358991541182157,0.477751937056356,-0.4359075194421,0.101684363975934,0.181547001142809,"Scmh1"
"8","ENSMUSG00000000088.7",2.18919680295984,2.51295108617201e-21,1.0813948195236e-19,0.714631052962986,0.00109741006993687,0.00386730515226502,"Cox5a"
"9","ENSMUSG00000000093.6",0.642381530432227,0.112772163636792,0.193498624465526,1.62696172506692,4.35215877135766e-05,0.000212303817446856,"Tbx2"
"10","ENSMUSG00000000094.12",-0.465330549248663,0.477009428033537,0.592632150909226,0.37427853269578,0.548789129672434,0.658021839234271,"Tbx4"
"11","ENSMUSG00000000120.6",1.60940505445691,3.46057315876223e-15,7.33401469900916e-14,1.89473278871698,1.03903109789059e-22,5.4266433294958e-21,"Ngfr"
"12","ENSMUSG00000000125.5",0.475042087824747,0.163524104305379,0.259790612715678,0.533611285808233,0.0876899933583473,0.161479955624834,"Wnt3"
"13","ENSMUSG00000000126.11",-0.348888560176695,0.254492432097233,0.367727221975761,1.23221433300996,4.09154186346901e-05,0.000200981097109094,"Wnt9a"
"14","ENSMUSG00000000127.15",0.589009544307804,0.0267482141108625,0.0590283208234418,-0.253778512678362,0.323754606400011,0.446581598534612,"Fer"
"15","ENSMUSG00000000131.15",-0.0275894944126815,0.819950166103003,0.878254539585173,1.2432102378307,4.16415244447893e-25,2.76584212362999e-23,"Xpo6"
"16","ENSMUSG00000000134.17",0.243264585985113,0.513077715523954,0.625785567452202,0.565953599235461,0.124697229521235,0.213064304498364,"Tfe3"
"17","ENSMUSG00000000142.15",0.0191658755982919,0.946755209668367,0.967873996410913,0.731775902323245,0.00987403471115002,0.0264403745727143,"Axin2"
"18","ENSMUSG00000000148.17",0.316702899610706,0.115595961066742,0.197496249161738,0.833688693519356,2.67758361729078e-05,0.000136652179488237,"Brat1"
"19","ENSMUSG00000000149.10",1.17985390216488,1.25061336789476e-11,1.65891781912061e-10,1.76209451512434,2.15350449821268e-24,1.32922708623687e-22,"Gna12"
"20","ENSMUSG00000000154.16",1.29736069924793,0.366017773800239,0.484990085240765,1.09186569929475,0.390325127661521,0.51209047737,"Slc22a18"
"21","ENSMUSG00000000167.14",-1.57343796003865,0.00740507146829458,0.0197540410589022,-1.85995940150878,0.00102290426618197,0.0036369047726237,"Pih1d2"
"22","ENSMUSG00000000168.9",-0.15947115141909,0.641357225517892,0.736861410014665,-0.14802842557614,0.661695701423238,0.752634212228752,"Dlat"
"23","ENSMUSG00000000171.5",0.727542317348012,0.0544538652904062,0.10747720268128,0.0159443942091102,0.965787264168702,0.977698412768843,"Sdhd"
"24","ENSMUSG00000000183.6",-3.5472887691248,4.35669824249779e-05,0.000203898371665738,-1.87626927557787,0.0298219860592104,0.0668578510991128,"Fgf6"
"25","ENSMUSG00000000184.12",1.07727650403078,1.39429340035026e-12,2.09166829911793e-11,1.35696989310674,3.56100223338926e-19,1.28757974245546e-17,"Ccnd2"
"26","ENSMUSG00000000194.13",0.120131946735811,0.563739775524441,0.671942624506766,0.164176763473489,0.426530266976375,0.548404604727936,"Gpr107"
"27","ENSMUSG00000000197.8",0.557139366300292,0.000167904075575266,0.000694498536427297,0.259149486096534,0.0691585306756185,0.133482226189244,"Nalcn"
"28","ENSMUSG00000000202.9",0.267070165687103,0.154340068988933,0.247993877176363,1.45623623998125,1.05170493699917e-15,2.62668322957341e-14,"Btbd17"
"29","ENSMUSG00000000204.16",-2.13296306004155,0.234813830418765,0.344894729915695,-2.98445254012574,0.0839856973370296,0.155754151437583,"Slfn4"
"30","ENSMUSG00000000214.11",-1.15195865391752,0.311870370756673,0.429167246938538,0.708855924901248,0.533479897386978,0.644677223394732,"Th"
"31","ENSMUSG00000000223.13",0.466131070208593,0.00150415251262965,0.00489195659386934,-0.277330715593207,0.0509697264623826,0.104132065698027,"Drp2"
"32","ENSMUSG00000000244.17",-0.821251993815104,0.578853582892407,0.685101935669417,-2.50809040513103,0.0708443365565765,0.136053245761523,"Tspan32"
"33","ENSMUSG00000000247.11",1.78111831895642,4.9131064809158e-13,7.76440241449555e-12,1.28004181210813,1.43470802533694e-07,1.1036956575945e-06,"Lhx2"
"34","ENSMUSG00000000253.13",0.0277296040528449,0.961361660459943,0.977030821573993,0.841538817230738,0.135849274543517,0.228015830519296,"Gmpr"
"35","ENSMUSG00000000266.11",0.289893886193318,0.492930111574152,0.60769299296418,-0.130601490276469,0.752041802577194,0.82228500088543,"Mid2"
