target_id	gene
NM_001331155.1	Nudt12os
NR_038165.1	0610005C13Rik
NR_038166.1	0610005C13Rik
XR_391624.1	0610006L08Rik
XR_391626.1	0610006L08Rik
XM_006533917.3	0610009B22Rik
XM_006533918.2	0610009B22Rik
XM_006533919.2	0610009B22Rik
NM_025319.2	0610009B22Rik
XR_866057.2	0610009E02Rik
NR_038126.1	0610009L18Rik
XR_376450.2	0610025J13Rik
XR_376451.2	0610025J13Rik
NR_045760.1	0610031O16Rik
NR_028125.1	0610038B21Rik
NR_131025.1	0610039H22Rik
NR_028113.1	0610039K10Rik
NR_027874.1	0610040B10Rik
NR_104577.1	0610040F04Rik
NR_040757.1	0610040F04Rik
NR_040640.1	0610043K17Rik
NR_105022.1	1010001N08Rik
NR_105023.1	1010001N08Rik
XR_383959.1	1100001I12Rik
XR_001779788.1	1110002J07Rik
XR_871774.2	1110002J07Rik
XR_380509.2	1110002J07Rik
NR_138561.1	1110002J07Rik
NR_138560.1	1110002J07Rik
NR_030694.1	1110002L01Rik
XR_373311.3	1110002O04Rik
XR_373312.3	1110002O04Rik
NR_027810.1	1110006O24Rik
NR_045272.1	1110015O18Rik
XR_001783557.1	1110018N20Rik
XR_001783558.1	1110018N20Rik
XR_001783559.1	1110018N20Rik
XR_001783560.1	1110018N20Rik
XR_001783561.1	1110018N20Rik
XR_001783562.1	1110018N20Rik
XR_001783563.1	1110018N20Rik
XR_001783564.1	1110018N20Rik
XR_001783565.1	1110018N20Rik
XR_001783566.1	1110018N20Rik
XR_866971.2	1110018N20Rik
XR_866976.2	1110018N20Rik
XR_866979.2	1110018N20Rik
XR_866982.2	1110018N20Rik
NR_045995.1	1110019D14Rik
NR_027929.1	1110020A21Rik
NR_027930.1	1110020A21Rik
NM_001276278.1	1110025L11Rik
NR_045139.1	1110028F11Rik
NR_045470.1	1110028F18Rik
NR_040713.1	1110036E04Rik
NR_027943.1	1110038B12Rik
NR_015536.1	1110038B12Rik
NR_040707.1	1110046J04Rik
XR_385029.1	1110057P08Rik
NR_130982.1	1110058D11Rik
NM_001142727.1	1110065P20Rik
XM_011240609.2	1110065P20Rik
XM_006503375.3	1110065P20Rik
NM_001195435.1	1190003K10Rik
XM_006517360.1	1190003K10Rik
XR_168452.1	1190028D05Rik
NR_037958.1	1300002E11Rik
NR_037957.1	1300002E11Rik
XM_006511835.3	1300017J02Rik
NM_027918.2	1300017J02Rik
XR_870008.2	1500002F19Rik
XR_378553.3	1500002F19Rik
NR_015498.2	1500004A13Rik
NM_001145198.1	1500009L16Rik
XM_011243557.2	1500009L16Rik
XM_011243558.2	1500009L16Rik
XM_006514060.3	1500009L16Rik
NR_027817.1	1500011B03Rik
NR_027818.1	1500011B03Rik
NR_015476.1	1500011K16Rik
NR_045812.1	1500012K07Rik
NR_045814.1	1500012K07Rik
NR_029432.1	1500015A07Rik
NR_045817.2	1500015L24Rik
NR_033510.1	1500017E21Rik
NR_130956.1	1500026H17Rik
XR_140695.4	1500035N22Rik
XM_017317746.1	1520401A03Rik
XM_017317747.1	1520401A03Rik
XM_017317748.1	1520401A03Rik
XM_017317749.1	1520401A03Rik
XM_017317750.1	1520401A03Rik
XM_017317751.1	1520401A03Rik
XM_017317752.1	1520401A03Rik
XM_017317753.1	1520401A03Rik
XM_017317754.1	1520401A03Rik
XM_017317755.1	1520401A03Rik
XM_017317756.1	1520401A03Rik
XM_017317757.1	1520401A03Rik
XM_017317758.1	1520401A03Rik
XR_001782162.1	1520401A03Rik
XR_876666.2	1520401A03Rik
NR_040485.1	1600002D24Rik
NR_040484.1	1600002D24Rik
NR_037959.1	1600010M07Rik
NM_028164.1	1600014C23Rik
XM_006524968.2	1600014C23Rik
NM_001081273.2	1600015I10Rik
NR_040481.1	1600019K03Rik
NR_037960.1	1600020E01Rik
NR_037961.1	1600020E01Rik
NR_073433.1	1600023N17Rik
NR_038168.1	1600025M17Rik
NR_036588.1	1600027J07Rik
NR_028123.1	1600029I14Rik
NR_033522.1	1600029O15Rik
NM_029296.2	1700001C19Rik
NM_001172091.1	1700001C19Rik
XM_006525067.3	1700001C19Rik
XM_006525069.1	1700001C19Rik
XM_017317706.1	1700001C19Rik
NR_045475.1	1700001D01Rik
NM_001034102.2	1700001F09Rik (includes others)
NM_198677.1	1700001F09Rik (includes others)
NM_001244671.1	1700001F09Rik (includes others)
NM_001098269.2	1700001F09Rik (includes others)
XM_017315730.1	1700001F09Rik (includes others)
XR_874533.1	1700001F09Rik (includes others)
XM_011245257.1	1700001F09Rik (includes others)
XM_011245258.2	1700001F09Rik (includes others)
XR_874542.1	1700001F09Rik (includes others)
XR_001781227.1	1700001F09Rik (includes others)
XR_001781228.1	1700001F09Rik (includes others)
XR_874543.1	1700001F09Rik (includes others)
XM_006519807.2	1700001F09Rik (includes others)
XM_017316253.1	1700001F09Rik (includes others)
XM_011245244.2	1700001F09Rik (includes others)
XM_011245245.2	1700001F09Rik (includes others)
XM_011245246.1	1700001F09Rik (includes others)
XM_011245247.2	1700001F09Rik (includes others)
XR_001781233.1	1700001F09Rik (includes others)
XM_011245261.1	1700001F09Rik (includes others)
XM_017316264.1	1700001F09Rik (includes others)
XR_001781243.1	1700001F09Rik (includes others)
XR_001781244.1	1700001F09Rik (includes others)
XR_001781245.1	1700001F09Rik (includes others)
XM_017316265.1	1700001F09Rik (includes others)
XR_874547.1	1700001F09Rik (includes others)
XR_874548.1	1700001F09Rik (includes others)
XR_874555.1	1700001F09Rik (includes others)
XR_874556.1	1700001F09Rik (includes others)
XR_874557.1	1700001F09Rik (includes others)
XR_874552.1	1700001F09Rik (includes others)
XM_017316268.1	1700001F09Rik (includes others)
XM_017316269.1	1700001F09Rik (includes others)
XR_001781247.1	1700001F09Rik (includes others)
XM_017316270.1	1700001F09Rik (includes others)
XR_001781248.1	1700001F09Rik (includes others)
XR_874558.1	1700001F09Rik (includes others)
XR_874568.1	1700001F09Rik (includes others)
XM_011245282.1	1700001F09Rik (includes others)
XR_874569.1	1700001F09Rik (includes others)
XM_011245283.1	1700001F09Rik (includes others)
XM_011245284.1	1700001F09Rik (includes others)
XR_874570.1	1700001F09Rik (includes others)
XM_011245285.1	1700001F09Rik (includes others)
XR_874573.2	1700001F09Rik (includes others)
XR_874617.1	1700001F09Rik (includes others)
XR_874618.1	1700001F09Rik (includes others)
XM_011245307.1	1700001F09Rik (includes others)
XM_011245308.1	1700001F09Rik (includes others)
XM_011245309.1	1700001F09Rik (includes others)
XM_017316338.1	1700001F09Rik (includes others)
XR_874544.1	1700001F09Rik (includes others)
XR_874536.1	1700001F09Rik (includes others)
XR_001781420.1	1700001F09Rik (includes others)
NM_027940.2	1700001F09Rik (includes others)
NR_130158.1	1700001G01Rik
NR_038077.1	1700001G11Rik
NR_033199.1	1700001G17Rik
NM_029693.2	1700001J03Rik (includes others)
NM_001008547.1	1700001J03Rik (includes others)
NM_001243109.1	1700001J03Rik (includes others)
NM_001243110.1	1700001J03Rik (includes others)
NM_001101463.1	1700001J03Rik (includes others)
NM_027069.3	1700001J03Rik (includes others)
NM_001243113.1	1700001J03Rik (includes others)
NM_001243114.1	1700001J03Rik (includes others)
NM_001243104.1	1700001J03Rik (includes others)
NM_001243111.1	1700001J03Rik (includes others)
XM_011240996.1	1700001J03Rik (includes others)
XM_011240997.1	1700001J03Rik (includes others)
XM_006504780.1	1700001J03Rik (includes others)
XM_011240998.1	1700001J03Rik (includes others)
XM_006504853.3	1700001J03Rik (includes others)
XM_017321054.1	1700001J03Rik (includes others)
XM_006504863.3	1700001J03Rik (includes others)
XM_017321091.1	1700001J03Rik (includes others)
XM_017321155.1	1700001J03Rik (includes others)
XM_011240959.2	1700001J03Rik (includes others)
XM_011240960.1	1700001J03Rik (includes others)
XM_011240961.1	1700001J03Rik (includes others)
XM_886734.5	1700001J03Rik (includes others)
XM_003688818.4	1700001J03Rik (includes others)
XM_485697.8	1700001J03Rik (includes others)
XM_006541198.2	1700001J03Rik (includes others)
NM_027702.2	1700001J03Rik (includes others)
