"","csde_values.average_csde","input_values.average_input"
"0610005C13Rik",14.230353425231,31.2882765734923
"0610006L08Rik",0.901183660872129,0.334030381440352
"0610009B22Rik",56.3559011535261,119.731112318889
"0610009E02Rik",14.4576117897777,21.8289502763953
"0610009L18Rik",48.2101823755492,47.0033010411542
"0610025J13Rik",1.86882804268665,3.15912068529638
"0610031O16Rik",0,0.159675273482978
"0610038B21Rik",4.03012237199875,4.88085084647189
"0610039H22Rik",0.691937425081242,9.32220426958157
"0610039K10Rik",2.7709834290977,13.1909410697689
"0610040B10Rik",3.58838512302999,15.3512805834675
"0610040F04Rik",3.93682968884726,11.0890488933662
"0610043K17Rik",1.43929472105606,15.449348209574
"1010001N08Rik",0,0.165282119701422
"1100001I12Rik",0,0
"1110002J07Rik",39.3711874855754,108.038822260225
"1110002L01Rik",79.6558185910371,159.939087923687
"1110002O04Rik",0,0.151103615986616
"1110006O24Rik",15.9393429682453,13.8657564534815
"1110015O18Rik",8.53627088444931,63.7207163238835
"1110018N20Rik",115.552096322434,174.611249944538
"1110019D14Rik",2.96485098232431,8.32150901944837
"1110020A21Rik",3.20072534141712,8.90865119089847
"1110025L11Rik",0,0
"1110028F11Rik",0.309329649175521,1.77774981293042
"1110028F18Rik",1.05668694515034,0.643701246788785
"1110036E04Rik",0,0.159675273482978
"1110038B12Rik",132.379644919358,480.893298593783
"1110046J04Rik",8.566529822124,84.3203844378231
"1110057P08Rik",0,0
"1110058D11Rik",3.7073334359445,10.6662142576787
"1110065P20Rik",255.663199498102,262.919339743602
"1190003K10Rik",0.971945968760081,1.7645836647369
"1190028D05Rik",0.154664824587761,12.3684725895454
"1300002E11Rik",94.4241672618166,345.100025823248
"1300017J02Rik",4.71507318929056,4.03520042665968
"1500002F19Rik",2.13018642615826,12.6558215608849
"1500004A13Rik",65.7717689275239,66.8134213245895
"1500009L16Rik",78.1126029439852,224.770289427087
"1500011B03Rik",619.81954878476,890.295159693577
"1500011K16Rik",45.8528523814777,93.6851274356052
"1500012K07Rik",85.0383844667383,263.884693244646
"1500015A07Rik",70.8787222481478,222.922827266226
"1500015L24Rik",0,0
"1500017E21Rik",0.542790129763472,10.8929497946373
"1500026H17Rik",105.487848758099,221.498038262104
"1500035N22Rik",60.787138295937,92.8961462630907
"1520401A03Rik",3.08574845929695,0.705780459116574
"1600002D24Rik",0,0.188531810359245
"1600010M07Rik",1.67174417699752,4.79547749980934
"1600014C23Rik",1.51272024759925,1.72594100978344
"1600015I10Rik",0,0
"1600019K03Rik",0,0.159675273482978
"1600020E01Rik",54.1089672350618,149.323231357104
"1600023N17Rik",3.51023215394516,11.9554562310897
"1600025M17Rik",0,0
"1600027J07Rik",0,0
"1600029I14Rik",1.36601659432586,3.34921716357203
"1600029O15Rik",106.912309115529,140.16270329516
"1700001C19Rik",3.5586492912969,8.41648871739572
"1700001D01Rik",1.36601659432586,13.1742737290588
"1700001F09Rik",0.329826901831195,5.39887192120542
"1700001G01Rik",0,1.13404856614164
"1700001G11Rik",4.51637407055655,6.2402120246696
"1700001G17Rik",16.0858992217057,33.0145629596591
"1700001J03Rik",4.36459849294627,4.77125284765096
"1700001J11Rik",8.87673923668994,5.05504515428769
"1700001K19Rik",15.0914400102183,13.8196671014169
"1700001K23Rik",1.52068141891362,3.84956478863863
"1700001L05Rik",16.1167408910244,26.2494340699044
"1700003C15Rik",0,0
"1700003D09Rik",21.8266759825607,33.1618814650722
"1700003E24Rik/1700019M22Rik",0,0
